QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module
Q13509	NA	NA	NA	NA	POLATUZUMAB VEDOTIN	Tubulin inhibitor	INHIBITOR	2019	CHEMBL2095182	104766	Q13509	Tubulin beta-3 chain	Homo sapiens	D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D009369: Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D016403: Lymphoma, Large B-Cell, Diffuse	TUBB3	M1
Q13509	NA	NA	NA	NA	ENFORTUMAB VEDOTIN	Tubulin inhibitor	INHIBITOR	2019	CHEMBL2095182	104766	Q13509	Tubulin beta-3 chain	Homo sapiens	D001749: Urinary Bladder Neoplasms,D009369: Neoplasms,D014565: Urogenital Neoplasms,D064129: Prostatic Neoplasms, Castration-Resistant	TUBB3	M1
Q13509	NA	NA	NA	NA	DOCETAXEL	Tubulin inhibitor	INHIBITOR	1996	CHEMBL2095182	104766	Q13509	Tubulin beta-3 chain	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000077195: Squamous Cell Carcinoma of Head and Neck,D000230: Adenocarcinoma,D000855: Anorexia,D001005: Anus Neoplasms,D001661: Biliary Tract Neoplasms,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002100: Cachexia,D002277: Carcinoma,D002285: Carcinoma, Intraductal, Noninfiltrating,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002295: Carcinoma, Transitional Cell,D002583: Uterine Cervical Neoplasms,D003110: Colonic Neoplasms,D004066: Digestive System Diseases,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005221: Fatigue,D005834: Genital Neoplasms, Male,D006258: Head and Neck Neoplasms,D006528: Carcinoma, Hepatocellular,D006967: Hypersensitivity,D007012: Hypopharyngeal Neoplasms,D007680: Kidney Neoplasms,D007822: Laryngeal Neoplasms,D007890: Leiomyosarcoma,D007938: Leukemia,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008479: Mediastinal Neoplasms,D008545: Melanoma,D009062: Mouth Neoplasms,D009101: Multiple Myeloma,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009303: Nasopharyngeal Neoplasms,D009325: Nausea,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009503: Neutropenia,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010255: Paranasal Sinus Neoplasms,D010412: Penile Neoplasms,D010534: Peritoneal Neoplasms,D010610: Pharyngeal Neoplasms,D011471: Prostatic Neoplasms,D012192: Retroviridae Infections,D012509: Sarcoma,D012516: Osteosarcoma,D013274: Stomach Neoplasms,D013584: Sarcoma, Synovial,D013736: Testicular Neoplasms,D014067: Tonsillar Neoplasms,D014523: Urethral Neoplasms,D014565: Urogenital Neoplasms,D014594: Uterine Neoplasms,D014625: Vaginal Neoplasms,D014846: Vulvar Neoplasms,D015179: Colorectal Neoplasms,D016889: Endometrial Neoplasms,D018269: Carcinoma, Endometrioid,D018278: Carcinoma, Neuroendocrine,D018293: Cystadenoma, Serous,D018567: Breast Neoplasms, Male,D046152: Gastrointestinal Stromal Tumors,D055752: Small Cell Lung Carcinoma,D058922: Inflammatory Breast Neoplasms,D061325: Hereditary Breast and Ovarian Cancer Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant,D064726: Triple Negative Breast Neoplasms,D065646: Thyroid Carcinoma, Anaplastic	TUBB3	M1
Q13509	NA	NA	NA	NA	BELANTAMAB MAFODOTIN	Tubulin inhibitor	INHIBITOR	2020	CHEMBL2095182	104766	Q13509	Tubulin beta-3 chain	Homo sapiens	D009101: Multiple Myeloma,D009369: Neoplasms,D016403: Lymphoma, Large B-Cell, Diffuse,D028226: Amyloidosis, Familial	TUBB3	M1
P49005	NA	NA	NA	NA	CYTARABINE	DNA polymerase (alpha/delta/epsilon) inhibitor	INHIBITOR	1969	CHEMBL2363042	105737	P49005	DNA polymerase delta subunit 2	Homo sapiens	D000505: Alopecia,D000753: Anemia, Refractory,D000754: Anemia, Refractory, with Excess of Blasts,D001752: Blast Crisis,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D004915: Leukemia, Erythroblastic, Acute,D005909: Glioblastoma,D006646: Histiocytosis, Langerhans-Cell,D006689: Hodgkin Disease,D007938: Leukemia,D007945: Leukemia, Lymphoid,D007947: Leukemia, Megakaryoblastic, Acute,D007948: Leukemia, Monocytic, Acute,D007952: Leukemia, Plasma Cell,D008180: Lupus Erythematosus, Systemic,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008288: Malaria,D008527: Medulloblastoma,D008545: Melanoma,D008582: Meningitis, Aseptic,D009101: Multiple Myeloma,D009157: Myasthenia Gravis,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009369: Neoplasms,D009471: Neuromyelitis Optica,D009503: Neutropenia,D010051: Ovarian Neoplasms,D011087: Polycythemia Vera,D012509: Sarcoma,D013920: Thrombocythemia, Essential,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015459: Leukemia-Lymphoma, Adult T-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015471: Leukemia, Basophilic, Acute,D015473: Leukemia, Promyelocytic, Acute,D015477: Leukemia, Myelomonocytic, Chronic,D015479: Leukemia, Myelomonocytic, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016483: Lymphoma, AIDS-Related,D016543: Central Nervous System Neoplasms,D016750: Stiff-Person Syndrome,D017728: Lymphoma, Large-Cell, Anaplastic,D019337: Hematologic Neoplasms,D020277: Polyradiculoneuropathy, Chronic Inflammatory Demyelinating,D020522: Lymphoma, Mantle-Cell,D020529: Multiple Sclerosis, Relapsing-Remitting,D023981: Sarcoma, Myeloid,D051436: Renal Insufficiency, Chronic,D053201: Urinary Bladder, Overactive,D053578: Opsoclonus-Myoclonus Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054218: Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D054429: Leukemia, Myelomonocytic, Juvenile,D055728: Primary Myelofibrosis,D064129: Prostatic Neoplasms, Castration-Resistant	POLD2	M1
P49005	NA	NA	NA	NA	GEMCITABINE HYDROCHLORIDE	DNA polymerase (alpha/delta/epsilon) inhibitor	INHIBITOR	1996	CHEMBL2363042	105737	P49005	DNA polymerase delta subunit 2	Homo sapiens	D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D005185: Fallopian Tube Neoplasms,D005706: Gallbladder Neoplasms,D006258: Head and Neck Neoplasms,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008232: Lymphoproliferative Disorders,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D010954: Plasmacytoma,D012192: Retroviridae Infections,D012509: Sarcoma,D013274: Stomach Neoplasms,D013923: Thromboembolism,D014516: Ureteral Neoplasms,D014523: Urethral Neoplasms,D014594: Uterine Neoplasms,D015179: Colorectal Neoplasms,D016399: Lymphoma, T-Cell,D016889: Endometrial Neoplasms,D018269: Carcinoma, Endometrioid,D018281: Cholangiocarcinoma,D018285: Klatskin Tumor,D018293: Cystadenoma, Serous,D018567: Breast Neoplasms, Male,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D061325: Hereditary Breast and Ovarian Cancer Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant,D064726: Triple Negative Breast Neoplasms	POLD2	M1
P49005	NA	NA	NA	NA	CLOFARABINE	DNA polymerase (alpha/delta/epsilon) inhibitor	INHIBITOR	2004	CHEMBL2363042	105737	P49005	DNA polymerase delta subunit 2	Homo sapiens	D006086: Graft vs Host Disease,D006402: Hematologic Diseases,D006646: Histiocytosis, Langerhans-Cell,D006689: Hodgkin Disease,D007938: Leukemia,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D009101: Multiple Myeloma,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010022: Osteopetrosis,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D015477: Leukemia, Myelomonocytic, Chronic,D016399: Lymphoma, T-Cell,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	POLD2	M1
P49005	NA	NA	NA	NA	FLUDARABINE PHOSPHATE	DNA polymerase (alpha/delta/epsilon) inhibitor	INHIBITOR	1991	CHEMBL2363042	105737	P49005	DNA polymerase delta subunit 2	Homo sapiens	D000080443: Diffuse Intrinsic Pontine Glioma,D000080983: Bone Marrow Failure Disorders,D000081003: Shwachman-Diamond Syndrome,D000740: Anemia,D000741: Anemia, Aplastic,D000753: Anemia, Refractory,D000754: Anemia, Refractory, with Excess of Blasts,D000755: Anemia, Sickle Cell,D001172: Arthritis, Rheumatoid,D001752: Blast Crisis,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003424: Crohn Disease,D004820: Epidermolysis Bullosa,D004915: Leukemia, Erythroblastic, Acute,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005199: Fanconi Anemia,D005909: Glioblastoma,D006086: Graft vs Host Disease,D006103: Granuloma, Lethal Midline,D006105: Granulomatous Disease, Chronic,D006258: Head and Neck Neoplasms,D006402: Hematologic Diseases,D006457: Hemoglobinuria, Paroxysmal,D006528: Carcinoma, Hepatocellular,D006646: Histiocytosis, Langerhans-Cell,D006689: Hodgkin Disease,D007119: Immunoblastic Lymphadenopathy,D007154: Immune System Diseases,D007680: Kidney Neoplasms,D007938: Leukemia,D007943: Leukemia, Hairy Cell,D007945: Leukemia, Lymphoid,D007947: Leukemia, Megakaryoblastic, Acute,D007948: Leukemia, Monocytic, Acute,D007952: Leukemia, Plasma Cell,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008180: Lupus Erythematosus, Systemic,D008181: Lupus Nephritis,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009103: Multiple Sclerosis,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009303: Nasopharyngeal Neoplasms,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009447: Neuroblastoma,D009471: Neuromyelitis Optica,D010022: Osteopetrosis,D010051: Ovarian Neoplasms,D010534: Peritoneal Neoplasms,D011087: Polycythemia Vera,D011471: Prostatic Neoplasms,D011565: Psoriasis,D012509: Sarcoma,D012512: Sarcoma, Ewing,D012516: Osteosarcoma,D012595: Scleroderma, Systemic,D012751: Sezary Syndrome,D013789: Thalassemia,D013964: Thyroid Neoplasms,D014657: Vasculitis,D014923: Wiskott-Aldrich Syndrome,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015459: Leukemia-Lymphoma, Adult T-Cell,D015461: Leukemia, Prolymphocytic, T-Cell,D015463: Leukemia, Prolymphocytic,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015477: Leukemia, Myelomonocytic, Chronic,D015479: Leukemia, Myelomonocytic, Acute,D015535: Arthritis, Psoriatic,D015614: Histiocytosis,D016399: Lymphoma, T-Cell,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016511: Severe Combined Immunodeficiency,D017086: beta-Thalassemia,D017728: Lymphoma, Large-Cell, Anaplastic,D018197: Hepatoblastoma,D018302: Neoplasms, Neuroepithelial,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D051437: Renal Insufficiency,D054066: Leukemia, Large Granular Lymphocytic,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054403: Leukemia, Prolymphocytic, B-Cell,D054429: Leukemia, Myelomonocytic, Juvenile,D055728: Primary Myelofibrosis,D064129: Prostatic Neoplasms, Castration-Resistant	POLD2	M1
P06881	NA	NA	NA	NA	GALCANEZUMAB	Calcitonin gene-related peptide inhibitor	INHIBITOR	2018	CHEMBL3832947	116903	P06881	Calcitonin gene-related peptide 1	Homo sapiens	D008881: Migraine Disorders,D010146: Pain,D020370: Osteoarthritis, Knee	CALCA	M1
P06881	NA	NA	NA	NA	EPTINEZUMAB	Calcitonin gene-related peptide inhibitor	INHIBITOR	2020	CHEMBL3832947	116903	P06881	Calcitonin gene-related peptide 1	Homo sapiens	D008881: Migraine Disorders,D010146: Pain	CALCA	M1
P06881	NA	NA	NA	NA	FREMANEZUMAB	Calcitonin gene-related peptide antagonist	ANTAGONIST	2018	CHEMBL3832947	116903	P06881	Calcitonin gene-related peptide 1	Homo sapiens	D005356: Fibromyalgia,D008881: Migraine Disorders,D010146: Pain,D018856: Cystitis, Interstitial	CALCA	M1
P05997	NA	NA	NA	NA	OCRIPLASMIN	Collagen hydrolytic enzyme	HYDROLYTIC ENZYME	2010	CHEMBL2364188	106167	P05997	Collagen alpha-2(V) chain	Homo sapiens	D005128: Eye Diseases,D008268: Macular Degeneration,D012167: Retinal Perforations,D012170: Retinal Vein Occlusion,D014605: Uveitis,D020246: Venous Thrombosis,D020521: Stroke	COL5A2	M1
P05997	NA	NA	NA	NA	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	Collagen hydrolytic enzyme	HYDROLYTIC ENZYME	2010	CHEMBL2364188	106167	P05997	Collagen alpha-2(V) chain	Homo sapiens	D002062: Bursitis,D003286: Contracture,D003668: Pressure Ulcer,D004387: Dupuytren Contracture,D008067: Lipoma,D010411: Penile Induration,D012883: Skin Ulcer,D014456: Ulcer,D014525: Urethral Stricture,D017719: Diabetic Foot,D052256: Tendinopathy	COL5A2	M1
P35968	NA	NA	NA	NA	VANDETANIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2011	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000080443: Diffuse Intrinsic Pontine Glioma,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006258: Head and Neck Neoplasms,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008175: Lung Neoplasms,D008654: Mesothelioma,D009101: Multiple Myeloma,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009447: Neuroblastoma,D009837: Oligodendroglioma,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D014516: Ureteral Neoplasms,D014523: Urethral Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016543: Central Nervous System Neoplasms,D018263: Adenocarcinoma, Follicular,D018276: Carcinoma, Medullary,D018289: Carcinoma, Verrucous,D018316: Gliosarcoma,D046152: Gastrointestinal Stromal Tumors,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	SUNITINIB MALATE	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2006	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000077195: Squamous Cell Carcinoma of Head and Neck,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006528: Carcinoma, Hepatocellular,D006623: von Hippel-Lindau Disease,D007012: Hypopharyngeal Neoplasms,D007516: Adenoma, Islet Cell,D007680: Kidney Neoplasms,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010534: Peritoneal Neoplasms,D011471: Prostatic Neoplasms,D012509: Sarcoma,D012514: Sarcoma, Kaposi,D013274: Stomach Neoplasms,D013945: Thymoma,D013964: Thyroid Neoplasms,D014523: Urethral Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D018263: Adenocarcinoma, Follicular,D018273: Carcinoma, Islet Cell,D018276: Carcinoma, Medullary,D018316: Gliosarcoma,D018358: Neuroendocrine Tumors,D018567: Breast Neoplasms, Male,D046152: Gastrointestinal Stromal Tumors,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D058922: Inflammatory Breast Neoplasms,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	MIDOSTAURIN	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	2017	CHEMBL279	10980	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D001752: Blast Crisis,D007938: Leukemia,D007946: Leukemia, Mast-Cell,D008107: Liver Diseases,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D012004: Rectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D034721: Mastocytosis, Systemic,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	KDR	M1
P35968	NA	NA	NA	NA	SORAFENIB TOSYLATE	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2005	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000077195: Squamous Cell Carcinoma of Head and Neck,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D003110: Colonic Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007012: Hypopharyngeal Neoplasms,D007680: Kidney Neoplasms,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009369: Neoplasms,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012192: Retroviridae Infections,D012509: Sarcoma,D012516: Osteosarcoma,D013964: Thyroid Neoplasms,D014062: Tongue Neoplasms,D014523: Urethral Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016543: Central Nervous System Neoplasms,D017728: Lymphoma, Large-Cell, Anaplastic,D018222: Fibromatosis, Aggressive,D018263: Adenocarcinoma, Follicular,D018289: Carcinoma, Verrucous,D018316: Gliosarcoma,D018567: Breast Neoplasms, Male,D020522: Lymphoma, Mantle-Cell,D023981: Sarcoma, Myeloid,D046152: Gastrointestinal Stromal Tumors,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	PAZOPANIB HYDROCHLORIDE	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2009	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002292: Carcinoma, Renal Cell,D005185: Fallopian Tube Neoplasms,D006394: Hemangiosarcoma,D006623: von Hippel-Lindau Disease,D008175: Lung Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010534: Peritoneal Neoplasms,D011471: Prostatic Neoplasms,D012192: Retroviridae Infections,D012509: Sarcoma,D013964: Thyroid Neoplasms,D014523: Urethral Neoplasms,D018263: Adenocarcinoma, Follicular,D018276: Carcinoma, Medullary,D018316: Gliosarcoma,D018567: Breast Neoplasms, Male,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	TIVOZANIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2021	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D009369: Neoplasms,D010051: Ovarian Neoplasms,D012509: Sarcoma,D015179: Colorectal Neoplasms,D018281: Cholangiocarcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	RAMUCIRUMAB	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	2014	CHEMBL279	10980	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000230: Adenocarcinoma,D001661: Biliary Tract Neoplasms,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003110: Colonic Neoplasms,D004938: Esophageal Neoplasms,D005706: Gallbladder Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006528: Carcinoma, Hepatocellular,D008228: Lymphoma, Non-Hodgkin,D008545: Melanoma,D008654: Mesothelioma,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D012004: Rectal Neoplasms,D013274: Stomach Neoplasms,D013584: Sarcoma, Synovial,D013945: Thymoma,D015179: Colorectal Neoplasms,D018281: Cholangiocarcinoma,D020522: Lymphoma, Mantle-Cell,D058405: Desmoplastic Small Round Cell Tumor,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1
P35968	NA	NA	NA	NA	REGORAFENIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D001650: Bile Duct Neoplasms,D001661: Biliary Tract Neoplasms,D002277: Carcinoma,D002292: Carcinoma, Renal Cell,D003110: Colonic Neoplasms,D003528: Carcinoma, Adenoid Cystic,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006394: Hemangiosarcoma,D006528: Carcinoma, Hepatocellular,D008080: Liposarcoma,D008268: Macular Degeneration,D008545: Melanoma,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D012004: Rectal Neoplasms,D012509: Sarcoma,D012516: Osteosarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D018281: Cholangiocarcinoma,D029424: Pulmonary Disease, Chronic Obstructive,D046152: Gastrointestinal Stromal Tumors,D055752: Small Cell Lung Carcinoma	KDR	M1
P35968	NA	NA	NA	NA	CABOZANTINIB S-MALATE	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	2012	CHEMBL279	10980	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D001254: Astrocytoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D005909: Glioblastoma,D005910: Glioma,D006394: Hemangiosarcoma,D006528: Carcinoma, Hepatocellular,D009369: Neoplasms,D010673: Pheochromocytoma,D013964: Thyroid Neoplasms,D016889: Endometrial Neoplasms,D018263: Adenocarcinoma, Follicular,D018288: Carcinoma, Small Cell,D018316: Gliosarcoma	KDR	M1
P35968	NA	NA	NA	NA	LENVATINIB MESYLATE	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2015	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D002289: Carcinoma, Non-Small-Cell Lung,D008545: Melanoma,D009369: Neoplasms,D013964: Thyroid Neoplasms,D018281: Cholangiocarcinoma	KDR	M1
P35968	NA	NA	NA	NA	NINTEDANIB ESYLATE	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2014	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	NA	KDR	M1
